"fecha","mes","anio","servicio","tipo_pago","afluencia"
2022-02-16,"Febrero",2022,"Sevicios Temporales","gratuidad",0
2022-02-17,"Febrero",2022,"Sevicios Temporales","boleto",0
2022-02-17,"Febrero",2022,"Sevicios Temporales","prepago",0
2022-02-17,"Febrero",2022,"Sevicios Temporales","gratuidad",2
2022-02-18,"Febrero",2022,"Sevicios Temporales","boleto",0
2022-02-18,"Febrero",2022,"Sevicios Temporales","prepago",0
2022-02-18,"Febrero",2022,"Sevicios Temporales","gratuidad",0
2022-02-19,"Febrero",2022,"Sevicios Temporales","boleto",0
2022-02-19,"Febrero",2022,"Sevicios Temporales","prepago",0
2022-02-19,"Febrero",2022,"Sevicios Temporales","gratuidad",0
2022-02-20,"Febrero",2022,"Sevicios Temporales","boleto",0
2022-02-20,"Febrero",2022,"Sevicios Temporales","prepago",0
2022-02-20,"Febrero",2022,"Sevicios Temporales","gratuidad",0
2022-02-21,"Febrero",2022,"Sevicios Temporales","boleto",0
2022-02-21,"Febrero",2022,"Sevicios Temporales","prepago",0
2022-02-21,"Febrero",2022,"Sevicios Temporales","gratuidad",0
2022-02-22,"Febrero",2022,"Sevicios Temporales","boleto",0
2022-02-22,"Febrero",2022,"Sevicios Temporales","prepago",0
2022-02-22,"Febrero",2022,"Sevicios Temporales","gratuidad",0
2022-02-23,"Febrero",2022,"Sevicios Temporales","boleto",0
2022-02-23,"Febrero",2022,"Sevicios Temporales","prepago",0
2022-02-23,"Febrero",2022,"Sevicios Temporales","gratuidad",0
2022-02-24,"Febrero",2022,"Sevicios Temporales","boleto",0
2022-02-24,"Febrero",2022,"Sevicios Temporales","prepago",0
2022-02-24,"Febrero",2022,"Sevicios Temporales","gratuidad",0
2022-02-25,"Febrero",2022,"Sevicios Temporales","boleto",0
2022-02-25,"Febrero",2022,"Sevicios Temporales","prepago",70
2022-02-25,"Febrero",2022,"Sevicios Temporales","gratuidad",1
2022-02-26,"Febrero",2022,"Sevicios Temporales","boleto",4014
2022-02-26,"Febrero",2022,"Sevicios Temporales","prepago",460
2022-02-26,"Febrero",2022,"Sevicios Temporales","gratuidad",5
2022-02-27,"Febrero",2022,"Sevicios Temporales","boleto",4378
2022-02-27,"Febrero",2022,"Sevicios Temporales","prepago",655
2022-02-27,"Febrero",2022,"Sevicios Temporales","gratuidad",0
2022-02-28,"Febrero",2022,"Sevicios Temporales","boleto",4054
2022-02-28,"Febrero",2022,"Sevicios Temporales","prepago",1095
2022-02-28,"Febrero",2022,"Sevicios Temporales","gratuidad",10
2022-03-01,"Marzo",2022,"Sevicios Temporales","boleto",0
2022-03-01,"Marzo",2022,"Sevicios Temporales","prepago",0
2022-03-01,"Marzo",2022,"Sevicios Temporales","gratuidad",0
2022-03-02,"Marzo",2022,"Sevicios Temporales","boleto",0
2022-03-02,"Marzo",2022,"Sevicios Temporales","prepago",0
2022-03-02,"Marzo",2022,"Sevicios Temporales","gratuidad",0
2022-03-03,"Marzo",2022,"Sevicios Temporales","boleto",0
2022-03-03,"Marzo",2022,"Sevicios Temporales","prepago",0
2022-03-03,"Marzo",2022,"Sevicios Temporales","gratuidad",0
2022-03-04,"Marzo",2022,"Sevicios Temporales","boleto",0
2022-03-04,"Marzo",2022,"Sevicios Temporales","prepago",0
2022-03-04,"Marzo",2022,"Sevicios Temporales","gratuidad",0
2022-03-05,"Marzo",2022,"Sevicios Temporales","boleto",0
2022-03-05,"Marzo",2022,"Sevicios Temporales","prepago",0
2022-03-05,"Marzo",2022,"Sevicios Temporales","gratuidad",0
2022-03-06,"Marzo",2022,"Sevicios Temporales","boleto",0
2022-03-06,"Marzo",2022,"Sevicios Temporales","prepago",0
2022-03-06,"Marzo",2022,"Sevicios Temporales","gratuidad",0
2022-03-07,"Marzo",2022,"Sevicios Temporales","boleto",0
2022-03-07,"Marzo",2022,"Sevicios Temporales","prepago",0
2022-03-07,"Marzo",2022,"Sevicios Temporales","gratuidad",0
2022-03-08,"Marzo",2022,"Sevicios Temporales","boleto",0
2022-03-08,"Marzo",2022,"Sevicios Temporales","prepago",0
2022-03-08,"Marzo",2022,"Sevicios Temporales","gratuidad",0
2022-03-09,"Marzo",2022,"Sevicios Temporales","boleto",1232
2022-03-09,"Marzo",2022,"Sevicios Temporales","prepago",19
2022-03-09,"Marzo",2022,"Sevicios Temporales","gratuidad",426
2022-03-10,"Marzo",2022,"Sevicios Temporales","boleto",1338
2022-03-10,"Marzo",2022,"Sevicios Temporales","prepago",16
2022-03-10,"Marzo",2022,"Sevicios Temporales","gratuidad",463
2022-03-11,"Marzo",2022,"Sevicios Temporales","boleto",1434
2022-03-11,"Marzo",2022,"Sevicios Temporales","prepago",44
2022-03-11,"Marzo",2022,"Sevicios Temporales","gratuidad",497
2022-03-12,"Marzo",2022,"Sevicios Temporales","boleto",1284
2022-03-12,"Marzo",2022,"Sevicios Temporales","prepago",12
2022-03-12,"Marzo",2022,"Sevicios Temporales","gratuidad",444
2022-03-13,"Marzo",2022,"Sevicios Temporales","boleto",629
2022-03-13,"Marzo",2022,"Sevicios Temporales","prepago",10
2022-03-13,"Marzo",2022,"Sevicios Temporales","gratuidad",217
2022-03-14,"Marzo",2022,"Sevicios Temporales","boleto",1314
2022-03-14,"Marzo",2022,"Sevicios Temporales","prepago",24
2022-03-14,"Marzo",2022,"Sevicios Temporales","gratuidad",455
2022-03-15,"Marzo",2022,"Sevicios Temporales","boleto",1409
2022-03-15,"Marzo",2022,"Sevicios Temporales","prepago",29
2022-03-15,"Marzo",2022,"Sevicios Temporales","gratuidad",488
2022-03-16,"Marzo",2022,"Sevicios Temporales","boleto",2183
2022-03-16,"Marzo",2022,"Sevicios Temporales","prepago",32
2022-03-16,"Marzo",2022,"Sevicios Temporales","gratuidad",756
2022-03-17,"Marzo",2022,"Sevicios Temporales","boleto",3479
2022-03-17,"Marzo",2022,"Sevicios Temporales","prepago",18
2022-03-17,"Marzo",2022,"Sevicios Temporales","gratuidad",1205
2022-03-18,"Marzo",2022,"Sevicios Temporales","boleto",3695
2022-03-18,"Marzo",2022,"Sevicios Temporales","prepago",24
2022-03-18,"Marzo",2022,"Sevicios Temporales","gratuidad",1279
2022-03-19,"Marzo",2022,"Sevicios Temporales","boleto",3196
2022-03-19,"Marzo",2022,"Sevicios Temporales","prepago",23
2022-03-19,"Marzo",2022,"Sevicios Temporales","gratuidad",938
2022-03-20,"Marzo",2022,"Sevicios Temporales","boleto",5824
2022-03-20,"Marzo",2022,"Sevicios Temporales","prepago",523
2022-03-20,"Marzo",2022,"Sevicios Temporales","gratuidad",797
2022-03-21,"Marzo",2022,"Sevicios Temporales","boleto",6386
2022-03-21,"Marzo",2022,"Sevicios Temporales","prepago",886
2022-03-21,"Marzo",2022,"Sevicios Temporales","gratuidad",653
2022-03-22,"Marzo",2022,"Sevicios Temporales","boleto",3725
2022-03-22,"Marzo",2022,"Sevicios Temporales","prepago",20
2022-03-22,"Marzo",2022,"Sevicios Temporales","gratuidad",1289
2022-03-23,"Marzo",2022,"Sevicios Temporales","boleto",4795
2022-03-23,"Marzo",2022,"Sevicios Temporales","prepago",37
2022-03-23,"Marzo",2022,"Sevicios Temporales","gratuidad",1660
2022-03-24,"Marzo",2022,"Sevicios Temporales","boleto",3534
2022-03-24,"Marzo",2022,"Sevicios Temporales","prepago",36
2022-03-24,"Marzo",2022,"Sevicios Temporales","gratuidad",1224
2022-03-25,"Marzo",2022,"Sevicios Temporales","boleto",3860
2022-03-25,"Marzo",2022,"Sevicios Temporales","prepago",45
2022-03-25,"Marzo",2022,"Sevicios Temporales","gratuidad",1337
2022-03-26,"Marzo",2022,"Sevicios Temporales","boleto",2946
2022-03-26,"Marzo",2022,"Sevicios Temporales","prepago",26
2022-03-26,"Marzo",2022,"Sevicios Temporales","gratuidad",1021
2022-03-27,"Marzo",2022,"Sevicios Temporales","boleto",1599
2022-03-27,"Marzo",2022,"Sevicios Temporales","prepago",12
2022-03-27,"Marzo",2022,"Sevicios Temporales","gratuidad",553
2022-03-28,"Marzo",2022,"Sevicios Temporales","boleto",3363
2022-03-28,"Marzo",2022,"Sevicios Temporales","prepago",28
2022-03-28,"Marzo",2022,"Sevicios Temporales","gratuidad",1164
2022-03-29,"Marzo",2022,"Sevicios Temporales","boleto",3853
2022-03-29,"Marzo",2022,"Sevicios Temporales","prepago",29
2022-03-29,"Marzo",2022,"Sevicios Temporales","gratuidad",1333
2022-03-30,"Marzo",2022,"Sevicios Temporales","boleto",8440
2022-03-30,"Marzo",2022,"Sevicios Temporales","prepago",241
2022-03-30,"Marzo",2022,"Sevicios Temporales","gratuidad",2922
2022-03-31,"Marzo",2022,"Sevicios Temporales","boleto",9443
2022-03-31,"Marzo",2022,"Sevicios Temporales","prepago",205
2022-03-31,"Marzo",2022,"Sevicios Temporales","gratuidad",3270
2022-04-01,"Abril",2022,"Sevicios Temporales","boleto",10391
2022-04-01,"Abril",2022,"Sevicios Temporales","prepago",159
2022-04-01,"Abril",2022,"Sevicios Temporales","gratuidad",2406
2022-04-02,"Abril",2022,"Sevicios Temporales","boleto",8240
2022-04-02,"Abril",2022,"Sevicios Temporales","prepago",56
2022-04-02,"Abril",2022,"Sevicios Temporales","gratuidad",1795
2022-04-03,"Abril",2022,"Sevicios Temporales","boleto",7109
2022-04-03,"Abril",2022,"Sevicios Temporales","prepago",486
2022-04-03,"Abril",2022,"Sevicios Temporales","gratuidad",1035
2022-04-04,"Abril",2022,"Sevicios Temporales","boleto",9630
2022-04-04,"Abril",2022,"Sevicios Temporales","prepago",123
2022-04-04,"Abril",2022,"Sevicios Temporales","gratuidad",2229
2022-04-05,"Abril",2022,"Sevicios Temporales","boleto",8531
2022-04-05,"Abril",2022,"Sevicios Temporales","prepago",126
